person_id,year,facility_id,facility_name,facility_gender_policy,gender,race,offense_type,security_level,admission_date,parole_date
P202200001,2022.0,1,FAC001,Female-only,Female,White,,Medium,,2023-09-06
P202200002,2022.0,1,FAC001,Female-only,Female,,Property,Medium,2022-11-27,2023-11-02
P202200003,2022.0,1,,Female-only,Female,Black,Drug,Minimum,2022-08-03,2023-02-01
P202200004,2022.0,1,FAC001,Female-only,,White,Violent,Medium,2022-09-09,2024-05-04
P202200005,2022.0,1,FAC001,Female-only,Female,Black,,Minimum,2022-07-12,2022-12-29
P202200006,2022.0,1,FAC001,Female-only,Female,Black,Drug,Medium,2022-02-10,
P202200007,2022.0,1,,Female-only,Female,Hispanic,PublicOrder,,2022-09-24,
P202200008,2022.0,1,,Female-only,Female,,Property,Medium,2022-09-21,2023-04-01
P202200009,2022.0,1,FAC001,Female-only,Female,Black,Drug,Minimum,2022-01-04,
P202200010,2022.0,1,FAC001,Female-only,Female,Black,Property,Medium,2022-06-27,
P202200011,,1,,Female-only,Female,White,Violent,Maximum,2022-08-07,2023-06-15
P202200012,2022.0,1,FAC001,Female-only,Female,Black,Drug,Medium,2022-06-23,
P202200013,,1,,Female-only,Female,Black,Property,Medium,2022-09-03,2023-05-13
P202200014,2022.0,1,FAC001,Female-only,Female,White,Violent,Maximum,2022-06-03,
P202200015,2022.0,1,FAC001,Female-only,Female,Black,Property,Medium,2022-09-20,2023-04-18
P202200016,2022.0,1,FAC001,Female-only,Female,Asian,Other,Minimum,2022-03-31,
P202200017,2022.0,1,FAC001,Female-only,Female,Black,Drug,Medium,2022-11-21,2024-02-09
P202200018,2022.0,1,,Female-only,Female,White,Violent,Maximum,2022-09-11,2025-05-08
P202200019,2022.0,1,FAC001,Female-only,Female,Black,Drug,Medium,2022-09-14,
P202200020,2022.0,1,FAC001,Female-only,Female,,Drug,Minimum,2022-12-08,2025-02-12
P202200021,2022.0,1,,Female-only,Female,,Violent,Medium,2022-12-12,2023-01-12
P202200022,2022.0,1,FAC001,Female-only,Female,White,,Medium,2022-06-16,
P202200023,2022.0,1,FAC001,Female-only,Female,White,,Maximum,2022-10-01,
P202200024,2022.0,1,FAC001,Female-only,Female,Hispanic,Drug,Minimum,2022-12-10,
P202200025,2022.0,1,FAC001,Female-only,Female,,PublicOrder,Minimum,2022-09-28,2025-04-02
P202200026,2022.0,2,FAC002,Female-only,Female,White,,Maximum,2022-03-05,
P202200027,,2,FAC002,Female-only,Female,Black,Property,Medium,,2024-04-09
P202200028,2022.0,2,FAC002,Female-only,,Hispanic,PublicOrder,Minimum,2022-01-07,2024-07-26
P202200029,2022.0,2,FAC002,Female-only,Female,,Property,Medium,2022-09-30,2023-02-01
P202200030,2022.0,2,FAC002,Female-only,Female,Black,Drug,Medium,2022-03-03,
P202200031,2022.0,2,FAC002,Female-only,Female,White,Property,Medium,2022-01-15,2024-06-04
P202200032,2022.0,2,FAC002,Female-only,Female,Black,,Minimum,2022-03-27,
P202200033,2022.0,2,FAC002,Female-only,Female,White,Violent,Maximum,2022-07-02,2024-05-30
P202200034,2022.0,2,FAC002,Female-only,Female,Black,Property,Medium,2022-01-18,
P202200035,2022.0,2,FAC002,Female-only,Female,,Other,Minimum,2022-02-10,
P202200036,2022.0,2,FAC002,Female-only,Female,White,Violent,Medium,2022-03-11,2024-02-05
P202200037,2022.0,2,FAC002,Female-only,Female,,Property,Medium,2022-07-03,
P202200038,2022.0,2,FAC002,Female-only,Female,Hispanic,PublicOrder,Minimum,2022-05-23,2024-06-30
